Log Start: [17:13:54]
Rule (1): «manag»«wast»
Rule (1): «manag»«wast»«2.2500»«-0.4000»«2.6667»«0.9231»«0.1250»«0.2000»«0.6667»
Rule (2): «wast»«manag»
Rule (2): «wast»«manag»«3.5000»«-0.3000»«2.6667»«0.9600»«0.1250»«0.2000»«0.8000»
Rule (3): «manag»«recycl»
Rule (3): «manag»«recycl»«2.2500»«-0.4000»«2.6667»«0.9231»«0.1250»«0.2000»«0.6667»
Rule (4): «recycl»«manag»
Rule (4): «recycl»«manag»«3.5000»«-0.3000»«2.6667»«0.9600»«0.1250»«0.2000»«0.8000»
Rule (5): «manag»«wast_manag»
Rule (5): «manag»«wast_manag»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (6): «wast_manag»«manag»
Rule (6): «wast_manag»«manag»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (7): «manag»«plan»
Rule (7): «manag»«plan»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (8): «plan»«manag»
Rule (8): «plan»«manag»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (9): «manag»«implement»
Rule (9): «manag»«implement»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (10): «implement»«manag»
Rule (10): «implement»«manag»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (11): «energi»«consumpt»
Rule (11): «energi»«consumpt»«4.2000»«-0.3500»«2.7778»«0.9615»«0.1600»«0.2500»«0.8333»
Rule (12): «consumpt»«energi»
Rule (12): «consumpt»«energi»«4.2000»«-0.3500»«2.7778»«0.9615»«0.1600»«0.2500»«0.8333»
Rule (13): «energi»«temperatur»
Rule (13): «energi»«temperatur»«2.2500»«-0.4000»«2.6667»«0.9231»«0.1250»«0.2000»«0.6667»
Rule (14): «temperatur»«energi»
Rule (14): «temperatur»«energi»«3.5000»«-0.3000»«2.6667»«0.9600»«0.1250»«0.2000»«0.8000»
Rule (15): «energi»«indoor»
Rule (15): «energi»«indoor»«2.2500»«-0.4000»«2.6667»«0.9231»«0.1250»«0.2000»«0.6667»
Rule (16): «indoor»«energi»
Rule (16): «indoor»«energi»«3.5000»«-0.3000»«2.6667»«0.9600»«0.1250»«0.2000»«0.8000»
Rule (17): «energi»«heat»
Rule (17): «energi»«heat»«2.2500»«-0.4000»«2.6667»«0.9231»«0.1250»«0.2000»«0.6667»
Rule (18): «heat»«energi»
Rule (18): «heat»«energi»«3.5000»«-0.3000»«2.6667»«0.9600»«0.1250»«0.2000»«0.8000»
Rule (19): «energi»«energi_consumpt»
Rule (19): «energi»«energi_consumpt»«4.5000»«-0.3500»«3.3333»«0.9615»«0.1750»«0.2500»«0.8333»
Rule (20): «energi_consumpt»«energi»
Rule (20): «energi_consumpt»«energi»«8888.0000»«-0.2500»«3.3333»«1.0000»«0.1750»«0.2500»«1.0000»
Rule (21): «energi»«electr»
Rule (21): «energi»«electr»«4.5000»«-0.3500»«3.3333»«0.9615»«0.1750»«0.2500»«0.8333»
Rule (22): «electr»«energi»
Rule (22): «electr»«energi»«8888.0000»«-0.2500»«3.3333»«1.0000»«0.1750»«0.2500»«1.0000»
Rule (23): «energi»«power»
Rule (23): «energi»«power»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (24): «power»«energi»
Rule (24): «power»«energi»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (25): «energi»«oper»
Rule (25): «energi»«oper»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (26): «oper»«energi»
Rule (26): «oper»«energi»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (27): «energi»«hvac»
Rule (27): «energi»«hvac»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (28): «hvac»«energi»
Rule (28): «hvac»«energi»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (29): «energi»«cool»
Rule (29): «energi»«cool»«2.4000»«-0.4000»«3.3333»«0.9231»«0.1400»«0.2000»«0.6667»
Rule (30): «cool»«energi»
Rule (30): «cool»«energi»«8888.0000»«-0.2000»«3.3333»«1.0000»«0.1400»«0.2000»«1.0000»
Rule (31): «consumpt»«temperatur»
